antecedents,consequents,support,confidence,lift
红烧茄子/油麦菜,米饭,0.0020859085290482076,1.0,1.0754403456297774
西红柿炒鸡蛋,米饭,0.0020086526576019777,1.0,1.0754403456297774
手工蛋包,米饭,0.0014678615574783684,1.0,1.0754403456297774
香菇榨菜肉丝,米饭,0.0011588380716934486,1.0,1.0754403456297774
长豆香干,米饭,0.000849814585908529,1.0,1.0754403456297774
茄子长豆双拼,米饭,0.00038627935723114956,1.0,1.0754403456297774
飘香臭豆腐,米饭,0.00038627935723114956,1.0,1.0754403456297774
肉末酸豆角,米饭,0.00030902348578491963,1.0,1.0754403456297774
番茄丝瓜,米饭,0.00015451174289245981,1.0,1.0754403456297774
葱油小黄鱼,米饭,0.00015451174289245981,1.0,1.0754403456297774
鱼香日本豆腐,米饭,7.725587144622991e-05,1.0,1.0754403456297774
把子肉,米饭,7.725587144622991e-05,1.0,1.0754403456297774
盐菜豆瓣肉,米饭,7.725587144622991e-05,1.0,1.0754403456297774
大白菜/黄瓜炒蛋,米饭,7.725587144622991e-05,1.0,1.0754403456297774
红烧萝卜/藕片,米饭,7.725587144622991e-05,1.0,1.0754403456297774
西葫芦炒肉,米饭,7.725587144622991e-05,1.0,1.0754403456297774
青菜,米饭,0.012051915945611866,0.9936305732484076,1.0685904071225814
山药卷,米饭,0.00888442521631644,0.9913793103448276,1.0661693081674517
黄瓜炒蛋/丝瓜,米饭,0.007262051915945612,0.9894736842105263,1.0641199209389376
素鸡烧肉,米饭,0.006180469715698393,0.9876543209876543,1.062163304325706
酥鱼,米饭,0.010815822002472188,0.9859154929577465,1.0602932985082312
酱肉,米饭,0.00996600741656366,0.9847328244274809,1.059021409055277
莴笋山药,米饭,0.0046353522867737945,0.9836065573770492,1.057810176029289
莴笋山药/虎皮尖椒,米饭,0.00865265760197775,0.9824561403508771,1.0565729711450444
白菜,米饭,0.0040173053152039555,0.9811320754716981,1.0551490183537438
青椒炒鸡蛋,米饭,0.0077255871446229914,0.9803921568627451,1.0543532800291935
凉拌黑木耳/素烧鹅,米饭,0.0032447466007416562,0.9767441860465116,1.050430105033736
